date,dayFreq,active_fires,cum_area
2019-07-01,0,0,0
2019-07-02,0,0,0
2019-07-03,0,0,0
2019-07-04,0,0,0
2019-07-05,0,0,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,0,0,0
2019-07-09,0,0,0
2019-07-10,1,1,1.2171471788062485
2019-07-11,0,1,1.2171471788062485
2019-07-12,1,2,4288.754553383543
2019-07-13,0,2,4288.754553383543
2019-07-14,1,3,4317.801650226178
2019-07-15,0,3,4317.801650226178
2019-07-16,0,3,4317.801650226178
2019-07-17,3,6,5262.743659723325
2019-07-18,0,5,5262.743659723325
2019-07-19,0,4,5262.743659723325
2019-07-20,1,5,5263.807452585892
2019-07-21,0,5,5263.807452585892
2019-07-22,0,5,5263.807452585892
2019-07-23,0,4,5263.807452585892
2019-07-24,0,4,5263.807452585892
2019-07-25,1,5,5268.987524356716
2019-07-26,3,7,11178.673322119941
2019-07-27,1,8,11179.178267745858
2019-07-28,1,7,11185.809765264139
2019-07-29,0,6,11185.809765264139
2019-07-30,0,5,11185.809765264139
2019-07-31,1,6,11240.3519436079
2019-08-01,0,6,11240.3519436079
2019-08-02,0,4,11240.3519436079
2019-08-03,2,6,12218.920974315237
2019-08-04,1,6,16530.770579568216
2019-08-05,0,6,16530.770579568216
2019-08-06,1,7,16940.492928439442
2019-08-07,4,10,20229.492555618122
2019-08-08,11,21,30186.929051011306
2019-08-09,6,27,37633.102570208874
2019-08-10,6,30,39446.12948144356
2019-08-11,5,35,40099.02703767583
2019-08-12,2,32,40995.99020313075
2019-08-13,0,30,40995.99020313075
2019-08-14,2,30,43041.51671561216
2019-08-15,2,30,43177.35263402153
2019-08-16,4,32,44179.8654401718
2019-08-17,2,32,44899.21155898217
2019-08-18,2,31,44902.65432793449
2019-08-19,2,32,44906.79130850602
2019-08-20,4,36,45058.89736126648
2019-08-21,1,34,45146.19508059488
2019-08-22,0,33,45146.19508059488
2019-08-23,4,33,45177.45146619556
2019-08-24,3,32,45540.840926334335
2019-08-25,0,25,45540.840926334335
2019-08-26,0,24,45540.840926334335
2019-08-27,1,22,45673.49692232896
2019-08-28,0,18,45673.49692232896
2019-08-29,0,14,45673.49692232896
2019-08-30,1,14,159452.42939994138
2019-08-31,0,13,159452.42939994138
2019-09-01,1,13,170434.2842189186
2019-09-02,0,12,170434.2842189186
2019-09-03,0,11,170434.2842189186
2019-09-04,0,11,170434.2842189186
2019-09-05,7,17,295576.65731071413
2019-09-06,3,20,309048.3746735185
2019-09-07,1,20,309067.2275478929
2019-09-08,3,22,346147.15759809443
2019-09-09,0,22,346147.15759809443
2019-09-10,0,22,346147.15759809443
2019-09-11,2,21,346147.4048962763
2019-09-12,1,20,346164.94456825225
2019-09-13,1,21,346337.18474408775
2019-09-14,0,21,346337.18474408775
2019-09-15,0,21,346337.18474408775
2019-09-16,0,20,346337.18474408775
2019-09-17,1,21,347649.06082695106
2019-09-18,1,18,347649.2993531148
2019-09-19,0,16,347649.2993531148
2019-09-20,0,15,347649.2993531148
2019-09-21,1,15,421812.54518668196
2019-09-22,1,14,421812.5512769423
2019-09-23,0,12,421812.5512769423
2019-09-24,0,11,421812.5512769423
2019-09-25,1,12,421812.9436259118
2019-09-26,1,13,422128.9372614228
2019-09-27,0,13,422128.9372614228
2019-09-28,1,14,422391.5964963173
2019-09-29,0,14,422391.5964963173
2019-09-30,1,14,422391.6416088441
2019-10-01,1,12,422396.12972669676
2019-10-02,2,14,422650.50064645807
2019-10-03,3,16,475325.7902606251
2019-10-04,0,16,475325.7902606251
2019-10-05,0,16,475325.7902606251
2019-10-06,1,17,475326.0965660123
2019-10-07,0,16,475326.0965660123
2019-10-08,1,17,475333.67540175386
2019-10-09,0,14,475333.67540175386
2019-10-10,1,12,475341.34351282107
2019-10-11,0,12,475341.34351282107
2019-10-12,1,11,475355.0810729898
2019-10-13,0,8,475355.0810729898
2019-10-14,0,8,475355.0810729898
2019-10-15,1,8,475361.4508749533
2019-10-16,10,18,923003.6286653046
2019-10-17,8,23,1082243.614919199
2019-10-18,1,22,1082246.0240808467
2019-10-19,0,21,1082246.0240808467
2019-10-20,0,21,1082246.0240808467
2019-10-21,3,23,1082661.0955030187
2019-10-22,2,24,1082742.3336588724
2019-10-23,2,26,1123400.8966778913
2019-10-24,2,25,1217017.1259098272
2019-10-25,9,30,1753945.6770920297
2019-10-26,8,37,1860430.3791872542
2019-10-27,3,34,1876984.0457448016
2019-10-28,1,32,1876984.1214943763
2019-10-29,2,30,1989467.3090264983
2019-10-30,2,30,1989475.1142191568
2019-10-31,2,32,1989480.8472853713
2019-11-01,2,32,1989494.3834199698
2019-11-02,2,30,1989545.8191137426
2019-11-03,1,30,2164455.4044235167
2019-11-04,1,30,2164455.7884735987
